0.000001	0	0	0	0	0	0
0.1	4.49524E-34	7.79825E-77	1.1883E-248	0	0	0
0.2	3.03136E-13	4.49524E-34	8.0558E-114	1.1883E-248	0	0
0.3	1.05063E-06	4.44582E-20	2.79697E-69	1.1794E-158	3.4193E-197	0
0.4	0.001044398	3.03136E-13	2.78285E-47	8.0558E-114	6.5791E-140	0
0.5	0.04080176	2.89781E-09	2.73233E-34	4.86411E-87	9.5954E-106	3.5084E-243
0.6	0.320081678	1.05063E-06	8.53627E-26	2.79697E-69	3.90274E-83	3.4193E-197
0.7	1.010603109	5.91493E-05	7.23218E-20	1.13384E-56	3.99214E-67	2.0206E-164
0.8	1.814780434	0.001044398	1.53117E-15	2.78285E-47	3.07849E-55	6.5791E-140
0.9	2.243817873	0.008538145	2.77918E-12	4.90285E-40	4.24916E-46	6.7029E-121
1	2.140948939	0.04080176	9.05567E-10	2.73233E-34	7.01719E-39	9.5954E-106
1.1	1.69447812	0.132150544	8.4746E-08	1.23726E-29	4.64291E-33	2.17194E-93
1.2	1.166996661	0.320081678	3.11502E-06	8.53627E-26	2.75415E-28	3.90274E-83
1.3	0.72281286	0.62052347	5.58451E-05	1.38644E-22	2.55772E-24	1.70092E-74
1.4	0.41217126	1.010603109	0.000569914	7.23218E-20	5.53675E-21	3.99214E-67
1.5	0.220112793	1.43252545	0.003707771	1.52147E-17	3.74047E-18	9.05597E-61
1.6	0.111497146	1.814780434	0.01673981	1.53117E-15	9.81488E-16	3.07849E-55
1.7	0.054093234	2.096609827	0.055960546	8.39888E-14	1.18242E-13	2.19303E-50
1.8	0.025324413	2.243817873	0.145677162	2.77918E-12	7.44837E-12	4.24916E-46
1.9	0.011508268	2.252122968	0.307285567	6.0101E-11	2.71852E-10	2.75111E-42
2	0.00510022	2.140948939	0.542167178	9.05567E-10	6.24068E-09	7.01719E-39
2.1	0.002212656	1.943041231	0.820968214	1.00123E-08	9.6296E-08	8.05642E-36
2.2	0.000942578	1.69447812	1.089548012	8.4746E-08	1.05453E-06	4.64291E-33
2.3	0.00039527	1.427541984	1.289511113	5.68691E-07	8.57176E-06	1.46964E-30
2.4	0.000163513	1.166996661	1.380809774	3.11502E-06	5.36877E-05	2.75415E-28
2.5	6.68415E-05	0.929167582	1.354055001	1.42725E-05	0.000267366	3.25451E-26
2.6	2.70406E-05	0.72281286	1.22852122	5.58451E-05	0.001087161	2.55772E-24
2.7	1.08393E-05	0.550837663	1.040305151	0.000189919	0.003691976	1.39898E-22
2.8	4.30985E-06	0.41217126	0.828351411	0.000569914	0.010676153	5.53675E-21
2.9	1.70134E-06	0.303416783	0.624221284	0.001528828	0.026730865	1.63966E-19
3	6.67316E-07	0.220112793	0.447664203	0.003707771	0.058794425	3.74047E-18
3.1	2.6024E-07	0.157591957	0.307016558	0.008209829	0.11504144	6.74163E-17
3.2	1.00967E-07	0.111497146	0.202212466	0.01673981	0.202466124	9.81488E-16
3.3	3.89909E-08	0.078041087	0.128382942	0.031669192	0.323618908	1.17689E-14
3.4	1.49944E-08	0.054093234	0.078828853	0.055960546	0.473812713	1.18242E-13
3.5	5.74441E-09	0.037162309	0.046946463	0.092905772	0.640256344	1.01063E-12
3.6	2.19314E-09	0.025324413	0.027188206	0.145677162	0.803882881	7.44837E-12
3.7	8.34697E-10	0.017129816	0.015346755	0.216747467	0.943462226	4.79088E-11
3.8	3.16774E-10	0.011508268	0.008460643	0.307285567	1.040580534	2.71852E-10
3.9	1.19905E-10	0.007683347	0.004563954	0.416659383	1.08376129	1.37408E-09
4	4.52783E-11	0.00510022	0.002412959	0.542167178	1.07047447	6.24068E-09
4.1	1.70605E-11	0.003367585	0.001252213	0.679074338	1.00669513	2.56686E-08
4.2	6.41533E-12	0.002212656	0.000638723	0.820968214	0.904546685	9.6296E-08
4.3	2.40793E-12	0.001447213	0.000320616	0.960377048	0.779048997	3.31624E-07
4.4	9.0225E-13	0.000942578	0.000158554	1.089548012	0.645003424	1.05453E-06
4.5	3.37541E-13	0.000611503	7.73272E-05	1.201254936	0.514722103	3.11288E-06
4.6	1.26094E-13	0.00039527	3.72261E-05	1.289511113	0.396868761	8.57176E-06
4.7	4.70411E-14	0.000254632	1.77048E-05	1.350091299	0.296308709	2.21165E-05
4.8	1.75275E-14	0.000163513	8.32525E-06	1.380809774	0.21465704	5.36877E-05
4.9	6.52314E-15	0.000104689	3.87326E-06	1.381546845	0.151166937	0.000123076
5	2.42509E-15	6.68415E-05	1.78406E-06	1.354055001	0.103662656	0.000267366
5.1	9.00667E-16	4.25658E-05	8.14067E-07	1.301602154	0.069330781	0.000552148
5.2	3.34192E-16	2.70406E-05	3.68186E-07	1.22852122	0.045289721	0.001087161
5.3	1.23894E-16	1.71386E-05	1.6514E-07	1.139733852	0.028935214	0.002046438
5.4	4.58938E-17	1.08393E-05	7.34888E-08	1.040305151	0.018102875	0.003691976
5.5	1.69875E-17	6.84142E-06	3.24613E-08	0.935069704	0.01110358	0.0063986
5.6	6.28343E-18	4.30985E-06	1.42384E-08	0.828351411	0.006684025	0.010676153
5.7	2.32262E-18	2.71016E-06	6.204E-09	0.723783358	0.0039528	0.01718384
5.8	8.58006E-19	1.70134E-06	2.68628E-09	0.624221284	0.002298611	0.026730865
5.9	3.16775E-19	1.06633E-06	1.15622E-09	0.531735794	0.001315512	0.040257765
6	1.1689E-19	6.67316E-07	4.9485E-10	0.447664203	0.000741554	0.058794425
6.1	4.31102E-20	4.17012E-07	2.10656E-10	0.372702124	0.000412037	0.083393471
