0.00E+00	3.70E+00	3.70E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.85E+00	3.70E+00	3.70E+00	3.70E+00
3.60E+02	3.70E+00	3.70E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.85E+00	3.70E+00	3.70E+00	3.70E+00
7.20E+02	3.71E+00	3.70E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.85E+00	3.70E+00	3.70E+00	3.70E+00
1.08E+03	4.14E+00	3.70E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.85E+00	3.70E+00	3.70E+00	3.70E+00
1.44E+03	6.47E+00	3.70E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.85E+00	3.70E+00	3.70E+00	3.70E+00
1.80E+03	9.27E+00	3.71E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.85E+00	3.70E+00	3.70E+00	3.70E+00
2.16E+03	1.06E+01	3.77E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.85E+00	3.70E+00	3.70E+00	3.70E+00
2.52E+03	1.11E+01	4.04E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.85E+00	3.70E+00	3.70E+00	3.70E+00
2.88E+03	1.13E+01	4.68E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.85E+00	3.70E+00	3.70E+00	3.70E+00
3.24E+03	1.13E+01	5.72E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.86E+00	3.70E+00	3.70E+00	3.70E+00
3.60E+03	1.14E+01	6.94E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.88E+00	3.70E+00	3.70E+00	3.70E+00
3.96E+03	1.14E+01	8.12E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.90E+00	3.70E+00	3.70E+00	3.70E+00
4.32E+03	1.14E+01	9.10E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.92E+00	3.70E+00	3.70E+00	3.70E+00
4.68E+03	1.14E+01	9.84E+00	3.70E+00	3.70E+00	3.70E+00	0.00E+00	1.95E+00	3.70E+00	3.70E+00	3.70E+00
5.04E+03	1.14E+01	1.04E+01	3.71E+00	3.70E+00	3.70E+00	0.00E+00	1.98E+00	3.70E+00	3.70E+00	3.70E+00
5.40E+03	1.14E+01	1.07E+01	3.74E+00	3.70E+00	3.70E+00	0.00E+00	2.02E+00	3.70E+00	3.70E+00	3.70E+00
5.76E+03	1.14E+01	1.10E+01	3.79E+00	3.70E+00	3.70E+00	0.00E+00	2.06E+00	3.70E+00	3.70E+00	3.70E+00
6.12E+03	1.14E+01	1.11E+01	3.89E+00	3.70E+00	3.70E+00	0.00E+00	2.09E+00	3.70E+00	3.70E+00	3.70E+00
6.48E+03	1.14E+01	1.12E+01	4.07E+00	3.70E+00	3.70E+00	0.00E+00	2.13E+00	3.70E+00	3.70E+00	3.70E+00
6.84E+03	1.14E+01	1.13E+01	4.34E+00	3.70E+00	3.70E+00	0.00E+00	2.17E+00	3.71E+00	3.70E+00	3.70E+00
