5.2	0	0.00002	0.00001	0.00001	0.02943	0.86107	0.44525	0.30664	0.14248	0.3363	0.23939	0.20709
5.3	0	0.00001	0.00001	0	0.02507	0.78319	0.40413	0.27778	0.13072	0.33814	0.23443	0.19986
5.4	0	0.00001	0	0	0.02115	0.70182	0.36148	0.24804	0.12218	0.33987	0.23103	0.19475
5.5	0	0	0	0	0.01767	0.62	0.31883	0.21845	0.11587	0.34182	0.22885	0.19119
5.6	0	0	0	0	0.01463	0.54031	0.27747	0.18985	0.11104	0.3443	0.22767	0.18879
5.7	0	0	0	0	0.01199	0.46479	0.23839	0.16293	0.10714	0.34769	0.22742	0.18733
5.8	0	0	0	0	0.00975	0.39491	0.20233	0.13813	0.10384	0.3524	0.22812	0.18669
5.9	0	0	0	0	0.00785	0.33159	0.16972	0.11577	0.10089	0.35888	0.22988	0.18688
6	0	0	0	0	0.00628	0.2753	0.14079	0.09595	0.09812	0.36758	0.23285	0.18794
6.1	0	0	0	0	0.00497	0.22613	0.11555	0.07869	0.09545	0.37893	0.23719	0.18994
6.2	0	0	0	0	0.00391	0.18384	0.09388	0.06389	0.09278	0.39329	0.24304	0.19295
6.3	0	0	0	0	0.00305	0.14801	0.07553	0.05137	0.09009	0.41089	0.25049	0.19702
6.4	0	0	0	0	0.00236	0.11805	0.06021	0.04093	0.08734	0.43179	0.25956	0.20216
6.5	0	0	0	0	0.00182	0.09332	0.04757	0.03232	0.08449	0.45585	0.27017	0.20828
6.6	0	0	0	0	0.00139	0.07314	0.03726	0.0253	0.08153	0.48267	0.2821	0.21525
6.7	0	0	0	0	0.00105	0.05686	0.02896	0.01965	0.07845	0.51163	0.29504	0.22285
6.8	0	0	0	0	0.00079	0.04386	0.02233	0.01515	0.07524	0.54186	0.30855	0.23078
6.9	0	0	0	0	0.00059	0.03358	0.01709	0.01159	0.0719	0.57231	0.3221	0.2387
7	0	0	0	0	0.00044	0.02552	0.01298	0.0088	0.06842	0.60178	0.3351	0.2462
7.1	0	0	0	0	0.00033	0.01927	0.0098	0.00664	0.06482	0.62901	0.34691	0.25288
7.2	0	0	0	0	0.00024	0.01445	0.00735	0.00498	0.06111	0.65278	0.35694	0.25833
7.3	0	0	0	0	0.00018	0.01077	0.00547	0.00371	0.05732	0.67193	0.36463	0.26219
7.4	0	0	0	0	0.00013	0.00798	0.00405	0.00275	0.05348	0.6855	0.36949	0.26415
7.5	0	0	0	0	0.00009	0.00588	0.00298	0.00202	0.04961	0.69274	0.37117	0.26398
7.6	0	0	0	0	0.00007	0.0043	0.00219	0.00148	0.04575	0.69318	0.36946	0.26156
7.7	0	0	0	0	0.00005	0.00313	0.00159	0.00108	0.04193	0.68665	0.36429	0.25684
7.8	0	0	0	0	0.00003	0.00227	0.00115	0.00078	0.03819	0.67326	0.35572	0.24988
7.9	0	0	0	0	0.00002	0.00164	0.00083	0.00056	0.03456	0.65338	0.34397	0.24084
8	0	0	0	0	0.00002	0.00118	0.0006	0.0004	0.03108	0.62764	0.32936	0.22993
8.1	0	0	0	0	0.00001	0.00084	0.00043	0.00029	0.02776	0.59683	0.31229	0.21745
8.2	0	0	0	0	0.00001	0.0006	0.0003	0.0002	0.02464	0.56188	0.29326	0.20372
8.3	0	0	0	0	0.00001	0.00042	0.00021	0.00015	0.02172	0.5238	0.27276	0.18908
8.4	0	0	0	0	0	0.0003	0.00015	0.0001	0.01902	0.48362	0.25132	0.17389
8.5	0	0	0	0	0	0.00021	0.00011	0.00007	0.01655	0.44232	0.22944	0.15847
8.6	0	0	0	0	0	0.00015	0.00007	0.00005	0.01431	0.40083	0.20757	0.14315
8.7	0	0	0	0	0	0.0001	0.00005	0.00004	0.01229	0.35999	0.18614	0.12819
8.8	0	0	0	0	0	0.00007	0.00004	0.00002	0.01049	0.32048	0.16549	0.11382
8.9	0	0	0	0	0	0.00005	0.00002	0.00002	0.00889	0.28289	0.14589	0.10023
9	0	0	0	0	0	0.00003	0.00002	0.00001	0.0075	0.24764	0.12757	0.08754
9.1	0	0	0	0	0	0.00002	0.00001	0.00001	0.00628	0.21503	0.11066	0.07586
9.2	0	0	0	0	0	0.00002	0.00001	0.00001	0.00523	0.18526	0.09524	0.06524
9.3	0	0	0	0	0	0.00001	0.00001	0	0.00433	0.1584	0.08136	0.05568
9.4	0	0	0	0	0	0.00001	0	0	0.00356	0.13443	0.06899	0.04718
9.5	0	0	0	0	0	0.00001	0	0	0.00291	0.11326	0.05809	0.0397
9.6	0	0	0	0	0	0	0	0	0.00237	0.09477	0.04857	0.03317
9.7	0	0	0	0	0	0	0	0	0.00192	0.07875	0.04033	0.02753
9.8	0	0	0	0	0	0	0	0	0.00154	0.06501	0.03328	0.0227
9.9	0	0	0	0	0	0	0	0	0.00123	0.05333	0.02728	0.0186
10	0	0	0	0	0	0	0	0	0.00098	0.04347	0.02223	0.01514
